Freshmen On-Track 2014-2015,On Track Rate, Total Number of Freshmen
School ID,2015, 2015
610513,90.4, 104
610524,86.7, 83
610388,, 
609695,89.6, 278
400018,81.6, 38
610501,80.6, 31
610563,100.0, 275
609698,89.4, 189
610307,, 
610323,92.9, 70
610381,91.7, 132
609726,92.9, 196
609760,90.8, 142
610340,86.6, 142
609753,93.9, 198
610309,, 
609754,91.9, 124
609675,, 
609674,85.2, 243
610244,93.2, 161
610401,, 
609759,96.0, 227
610499,72.6, 135
609761,78.6, 103
610378,, 
609702,, 
609756,69.1, 908
610564,79.2, 144
610245,76.3, 59
609676,62.4, 186
609736,, 
610311,, 
609704,79.4, 233
609706,, 
609705,80.3, 61
609708,60.2, 266
609709,81.0, 79
609693,94.5, 292
610324,, 
610558,79.2, 212
610383,90.0, 60
609694,94.1, 204
609710,62.7, 142
609711,80.0, 65
609712,51.7, 60
609768,72.9, 48
609741,78.0, 469
609713,83.8, 259
610371,, 
610384,93.0, 114
609783,, 
609678,99.0, 482
609764,87.8, 449
609762,76.4, 140
609715,73.2, 456
609716,73.2, 149
609718,80.8, 412
609746,90.7, 334
609751,92.0, 175
609719,82.6, 356
609720,95.8, 1008
609738,90.8, 621
610391,96.6, 266
609722,81.7, 71
609780,95.0, 141
610502,, 
609723,89.0, 109
610535,, 
609724,78.9, 379
609725,65.8, 418
610385,91.4, 58
609691,94.6, 223
609744,100.0, 25
609749,98.0, 250
610529,94.2, 103
610389,41.7, 156
609680,96.9, 229
609743,, 
609727,62.2, 172
610304,91.0, 144
609679,86.6, 357
610334,80.6, 129
610561,76.3, 173
609682,78.5, 65
610390,94.3, 194
610374,, 
609707,75.0, 64
609728,73.5, 309
609683,, 
610297,, 
610296,, 
610310,, 
609729,69.1, 554
610377,, 
609730,93.2, 355
609692,86.1, 368
609750,, 
610543,89.8, 315
610547,98.5, 130
609745,, 
610357,85.7, 56
609732,77.7, 382
609733,88.2, 119
609734,82.9, 736
610506,81.8, 77
610375,, 
609735,75.0, 84
610394,83.8, 68
609766,100.0, 24
610518,68.3, 41
609737,83.3, 408
609739,86.6, 322
609740,76.4, 144
610380,81.1, 90
610392,84.0, 75
609748,, 
609755,99.1, 448
