Freshmen On-Track 2014-2015||On Track Rate|Total Number of Freshmen
School ID|School Name|2015|2015
610513|AIR FORCE HS|90.4|104
610524|ALCOTT HS|86.7|83
610388|ALOP HS||
609695|AMUNDSEN HS|89.6|278
400018|AUSTIN BUS & ENTRP HS|81.6|38
610501|AUSTIN POLY HS|80.6|31
610563|BACK OF THE YARDS HS|100.0|275
609698|BOGAN HS|89.4|189
610307|BOWEN HS||
610323|BOWEN HS|92.9|70
610381|BRONZEVILLE HS|91.7|132
609726|BROOKS HS|92.9|196
609760|CARVER MILITARY|90.8|142
610340|CHGO ACAD HS|86.6|142
609753|CHGO AGR HS|93.9|198
610309|CHGO DISCOVERY HS||
609754|CHGO MILITARY ACAD HS|91.9|124
609675|CHICAGO AA HS||
609674|CHICAGO VOCATIONAL HS|85.2|243
610244|CLARK HS|93.2|161
610401|CLEMENTE AA HS||
609759|CLEMENTE HS|96.0|227
610499|COLLINS HS|72.6|135
609761|CORLISS HS|78.6|103
610378|CRANE AA||
609702|CRANE HS||
609756|CURIE HS|69.1|908
610564|DISNEY II MAGNET HS|79.2|144
610245|DOUGLASS HS|76.3|59
609676|DUNBAR HS|62.4|186
609736|DYETT HS||
610311|ENTREPRENEURSHP HS||
609704|FARRAGUT HS|79.4|233
609706|FENGER AA HS||
609705|FENGER HS|80.3|61
609708|FOREMAN HS|60.2|266
609709|GAGE PARK HS|81.0|79
609693|GEORGE WESTINGHOUSE HS|94.5|292
610324|GLOBAL VISIONS HS||
610558|GOODE ACAD HS|79.2|212
610383|GREATER LAWNDALE HS|90.0|60
609694|HANCOCK HS|94.1|204
609710|HARLAN HS|62.7|142
609711|HARPER HS|80.0|65
609712|HIRSCH HS|51.7|60
609768|HOPE HS|72.9|48
609741|HUBBARD HS|78.0|469
609713|HYDE PARK HS|83.8|259
610371|IDOC/HEALY HS||
610384|INFINITY HS|93.0|114
609783|JEFFERSON HS||
609678|JONES HS|99.0|482
609764|JUAREZ HS|87.8|449
609762|JULIAN HS|76.4|140
609715|KELLY HS|73.2|456
609716|KELVYN PARK HS|73.2|149
609718|KENNEDY HS|80.8|412
609746|KENWOOD HS|90.7|334
609751|KING HS|92.0|175
609719|LAKE VIEW HS|82.6|356
609720|LANE HS|95.8|1008
609738|LINCOLN PARK HS|90.8|621
610391|LINDBLOM HS|96.6|266
609722|MANLEY HS|81.7|71
609780|MARINE AMES HS|95.0|141
610502|MARINE MILITARY HS||
609723|MARSHALL HS|89.0|109
610535|MASON HS||
609724|MATHER HS|78.9|379
609725|MORGAN PARK HS|65.8|418
610385|MULTICULTURAL ACAD SCHOLARSHIP|91.4|58
609691|NORTH-GRAND HS|94.6|223
609744|NORTHSIDE LEARNING HS|100.0|25
609749|NORTHSIDE PREP HS|98.0|250
610529|OGDEN HS|94.2|103
610389|ORR HS|41.7|156
609680|PAYTON HS|96.9|229
609743|PHILLIPS AA HS||
609727|PHILLIPS HS|62.2|172
610304|PHOENIX MILITARY HS|91.0|144
609679|PROSSER HS|86.6|357
610334|RABY HS|80.6|129
610561|RICHARD T CRANE HS|76.3|173
609682|RICHARDS HS|78.5|65
610390|RICKOVER HS|94.3|194
610374|ROBESON AA HS||
609707|ROBESON HS|75.0|64
609728|ROOSEVELT HS|73.5|309
609683|SAFE ALTERNATIVE HS||
610297|SCHOOL OF LEADRSHP HS||
610296|SCHOOL OF TECH HS||
610310|SCHOOL OF THE ARTS HS||
609729|SCHURZ HS|69.1|554
610377|SENN AA HS||
609730|SENN HS|93.2|355
609692|SIMEON HS|86.1|368
609750|SIMPSON HS||
610543|SOLORIO HS|89.8|315
610547|SOUTH SHORE INTL HS|98.5|130
609745|SOUTHSIDE HS||
610357|SPRY HS|85.7|56
609732|STEINMETZ COLLEGE PREP HS|77.7|382
609733|SULLIVAN HS|88.2|119
609734|TAFT HS|82.9|736
610506|TEAM HS|81.8|77
610375|TILDEN AA HS||
609735|TILDEN HS|75.0|84
610394|UPLIFT HS|83.8|68
609766|VAUGHN HS|100.0|24
610518|VOISE HS|68.3|41
609737|VON STEUBEN HS|83.3|408
609739|WASHINGTON HS|86.6|322
609740|WELLS HS|76.4|144
610380|WILLIAMS, D|81.1|90
610392|WORLD LANGUAGE HS|84.0|75
609748|YORK HS||
609755|YOUNG HS|99.1|448
