School ID,Graduates,Enrollment Pct
400010,77,49.4
400013,112,40.2
400015,81,29.6
400018,47,40.4
400022,130,83.1
400032,86,68.6
400033,89,71.9
400034,192,79.7
400035,78,78.2
400036,22,59.1
400038,35,17.1
400042,67,59.7
400051,126,88.1
400052,127,87.4
400053,128,75.8
400054,159,81.8
400055,132,85.6
400056,110,78.2
400057,179,92.2
400058,101,80.2
400059,86,69.8
400061,86,59.3
400062,104,57.7
400064,44,70.5
400066,52,76.9
400070,40,12.5
400073,64,45.3
400077,55,70.9
400085,140,66.4
400086,63,82.5
400087,44,75.0
400091,27,48.1
400093,31,35.5
400094,69,52.2
400097,184,83.2
400098,228,88.6
400102,70,77.1
400104,132,58.3
400105,98,82.7
400106,117,88.0
400108,38,50.0
400109,37,27.0
400115,25,44.0
400123,36,13.9
400124,54,16.7
400125,66,13.6
400126,60,21.7
400127,112,15.2
400128,41,7.3
400129,23,13.0
400130,57,10.5
400131,43,23.3
400133,87,29.9
400134,99,26.3
400135,82,9.8
400136,32,53.1
400137,21,28.6
400139,84,15.5
400141,65,36.9
400142,82,26.8
400143,80,20.0
400144,41,14.6
400145,62,27.4
400147,102,16.7
400150,23,17.4
400164,34,23.5
609674,178,48.3
609676,223,57.4
609678,209,87.6
609679,298,61.7
609680,135,83.7
609682,70,42.9
609691,168,46.4
609692,313,65.5
609693,272,79.0
609694,201,49.8
609695,337,57.3
609698,325,40.9
609702,56,28.6
609704,225,28.4
609705,91,45.1
609707,78,43.6
609708,286,40.2
609709,136,29.4
609710,206,57.8
609711,103,35.9
609712,52,26.9
609713,202,51.0
609715,578,52.2
609716,189,34.9
609718,278,54.3
609719,370,68.4
609720,947,86.1
609722,76,34.2
609723,101,45.5
609724,315,60.6
609725,307,73.9
609726,186,84.9
609727,104,55.8
609728,234,47.9
609729,434,42.4
609730,194,52.1
609732,359,50.1
609733,129,41.9
609734,603,73.8
609735,80,40.0
609736,45,33.3
609737,308,80.8
609738,493,78.1
609739,335,59.4
609740,135,43.0
609741,346,59.8
609744,29,0.0
609745,31,0.0
609746,318,73.0
609748,22,13.6
609749,257,88.7
609750,15,66.7
609751,195,86.2
609753,115,79.1
609754,108,65.7
609755,418,86.8
609756,479,61.0
609759,193,42.0
609760,133,48.1
609761,104,41.3
609762,211,51.2
609764,365,47.7
609766,33,9.1
609768,82,45.1
609769,R HS",1
609783,1,*
610244,90,54.4
610245,54,35.2
610297,119,42.9
610304,103,53.4
610323,90,37.8
610334,79,54.4
610340,105,73.3
610357,47,46.8
610380, D",59
610381,118,64.4
610383,78,57.7
610384,99,53.5
610385,64,46.9
610386,60,18.3
610389,116,44.0
610390,112,67.9
610391,192,88.0
610392,78,46.2
610394,68,76.5
610402,93,90.3
610495,5,*
610497,5,*
610499,69,39.1
610501,40,55.0
610502,80,43.8
610506,79,74.7
610513,70,51.4
610518,73,57.5
610524,63,61.9
610529,78,64.1
610543,231,52.8
610555,73,12.3
610557,99,25.3
610565,40,10.0
610566,7,*
610567,9,*
610568,51,19.6
610569,7,*
610571,22,13.6
610574,5,*
800003,6,*
800007,1,*
800011,2,*
800014,8,*
800016,2,*
800018,1,*
